2,1,0.1
3,2,0.1
4,3,0.1
5,4,0.1
6,5,0.1
7,6,0.1
8,4,0.043
9,7,0.1
10,9,0.1
11,7,0.1
12,10,0.1
13,12,0.1
14,11,0.1
15,12,0.1
16,14,0.1
17,7,0.0203
18,6,0.0142
19,14,0.1
20,16,0.1
21,20,0.1
22,20,0.1
23,15,0.1
24,23,0.0139
25,14,0.0179
26,13,0.0392
27,2,0.0238
28,21,0.1
29,3,0.0764
31,19,0.1
32,31,0.0177
33,4,0.0542
34,1,0.047
35,24,0.1
36,29,0.1
37,36,0.0618
38,21,0.1
39,20,0.089
41,32,0.1
42,12,0.0591
44,42,0.0887
46,14,0.0161
47,41,0.1
48,26,0.1
49,39,0.1
51,48,0.1
52,38,0.1
53,52,0.1
54,18,0.0671
55,37,0.1
56,53,0.0347
57,31,0.064
58,39,0.0528
59,38,0.1
60,53,0.1
61,20,0.0486
62,15,0.0461
63,7,0.0448
64,21,0.0481
65,60,0.1
66,41,0.018
67,3,0.0261
68,51,0.0709
69,20,0.0197
70,33,0.0863
71,60,0.0333
72,54,0.0416
73,24,0.1
75,64,0.05
77,51,0.0614
78,65,0.1
79,65,0.1
80,72,0.0449
82,79,0.0687
